UNIDAD;NEGOCIO;LINEA/PROCESO;Periodo Admon;FUENTE INFORMACIÓN;Suma de VALOR ANTES IVA
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;OPERACIÓN EVENTOS COMPENSAR (ANTES CLIENTE EXTERNO);2022/03;Ejecutado;137947,1922
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;OPERACIÓN EVENTOS COMPENSAR (ANTES CLIENTE EXTERNO);2022/04;Ejecutado;886545,7711
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;OPERACIÓN EVENTOS COMPENSAR (ANTES CLIENTE EXTERNO);2022/05;Ejecutado;403825,2167
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;OPERACIÓN EVENTOS COMPENSAR (ANTES CLIENTE EXTERNO);2022/06;Ejecutado;50766,01673
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;OPERACIÓN EVENTOS COMPENSAR (ANTES CLIENTE EXTERNO);2022/07;Ejecutado;140107,7252
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;OPERACIÓN EVENTOS COMPENSAR (ANTES CLIENTE EXTERNO);2022/08;Ejecutado;91477,19806
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;OPERACIÓN EVENTOS COMPENSAR (ANTES CLIENTE EXTERNO);2022/09;Ejecutado;238217,6528
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;OPERACIÓN EVENTOS COMPENSAR (ANTES CLIENTE EXTERNO);2022/10;Ejecutado;114254,6024
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;OPERACIÓN EVENTOS COMPENSAR (ANTES CLIENTE EXTERNO);2022/11;Ejecutado;323247
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;OPERACIÓN EVENTOS COMPENSAR (ANTES CLIENTE EXTERNO);2022/12;Ejecutado;625580
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;OPERACIÓN EVENTOS CON TERCEROS;2022/01;Ejecutado;12567,04417
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;OPERACIÓN EVENTOS CON TERCEROS;2022/02;Ejecutado;3129,949487
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;OPERACIÓN EVENTOS CON TERCEROS;2022/03;Ejecutado;26452,85464
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;OPERACIÓN EVENTOS CON TERCEROS;2022/04;Ejecutado;11629,32636
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;OPERACIÓN EVENTOS CON TERCEROS;2022/05;Ejecutado;12493,65523
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;OPERACIÓN EVENTOS CON TERCEROS;2022/06;Ejecutado;9269,769756
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;OPERACIÓN EVENTOS CON TERCEROS;2022/07;Ejecutado;17894,94924
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;OPERACIÓN EVENTOS CON TERCEROS;2022/08;Ejecutado;13150,04612
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;OPERACIÓN EVENTOS CON TERCEROS;2022/09;Ejecutado;27328,33745
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;OPERACIÓN EVENTOS CON TERCEROS;2022/10;Ejecutado;14795,53878
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;OPERACIÓN EVENTOS CON TERCEROS;2022/11;Ejecutado;33875
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;OPERACIÓN EVENTOS CON TERCEROS;2022/12;Ejecutado;80344
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;OPERACION EVENTOS CON TERCEROS NACIONAL;2022/01;Ejecutado;5430,8057
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;OPERACION EVENTOS CON TERCEROS NACIONAL;2022/02;Ejecutado;10000,71371
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;OPERACION EVENTOS CON TERCEROS NACIONAL;2022/03;Ejecutado;5818,00869
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;OPERACION EVENTOS CON TERCEROS NACIONAL;2022/04;Ejecutado;5715,002108
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;OPERACION EVENTOS CON TERCEROS NACIONAL;2022/05;Ejecutado;5295,731029
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;OPERACION EVENTOS CON TERCEROS NACIONAL;2022/06;Ejecutado;5495,776954
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;OPERACION EVENTOS CON TERCEROS NACIONAL;2022/07;Ejecutado;5911,776954
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;OPERACION EVENTOS CON TERCEROS NACIONAL;2022/08;Ejecutado;5682,77175
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;OPERACION EVENTOS CON TERCEROS NACIONAL;2022/09;Ejecutado;5683,185759
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;OPERACION EVENTOS CON TERCEROS NACIONAL;2022/10;Ejecutado;5497,185759
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;OPERACION EVENTOS CON TERCEROS NACIONAL;2022/11;Ejecutado;5496
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;OPERACION EVENTOS CON TERCEROS NACIONAL;2022/12;Ejecutado;74740
BIENESTAR Y DESARROLLO SOCIAL;FONDOS DE LEY;EDUCACION LEY 115;2022/01;Ejecutado;14791645,9
BIENESTAR Y DESARROLLO SOCIAL;FONDOS DE LEY;EDUCACION LEY 115;2022/02;Ejecutado;12689199,82
BIENESTAR Y DESARROLLO SOCIAL;FONDOS DE LEY;EDUCACION LEY 115;2022/03;Ejecutado;13179546,07
BIENESTAR Y DESARROLLO SOCIAL;FONDOS DE LEY;EDUCACION LEY 115;2022/04;Ejecutado;18455786,94
BIENESTAR Y DESARROLLO SOCIAL;FONDOS DE LEY;EDUCACION LEY 115;2022/05;Ejecutado;16006545,57
BIENESTAR Y DESARROLLO SOCIAL;FONDOS DE LEY;EDUCACION LEY 115;2022/06;Ejecutado;15460800,02
BIENESTAR Y DESARROLLO SOCIAL;FONDOS DE LEY;EDUCACION LEY 115;2022/07;Ejecutado;12606936,16
BIENESTAR Y DESARROLLO SOCIAL;FONDOS DE LEY;EDUCACION LEY 115;2022/08;Ejecutado;12052470,23
BIENESTAR Y DESARROLLO SOCIAL;FONDOS DE LEY;EDUCACION LEY 115;2022/09;Ejecutado;11423359,41
